date,pollutant,concentration µg/m_
01/01/2017,CO,0.561
01/02/2017,CO,0.53
01/03/2017,CO,0.589
01/04/2017,CO,0.662
01/07/2017,CO,0.716
01/08/2017,CO,0.661
01/09/2017,CO,0.682
01/10/2017,CO,0.68
01/11/2017,CO,0.699
01/12/2017,CO,0.679
01/01/2018,CO,0.671
01/02/2018,CO,0.677
01/03/2018,CO,0.654
01/04/2018,CO,0.682
01/05/2018,CO,0.671
01/06/2018,CO,0.648
01/07/2018,CO,0.653
01/08/2018,CO,0.655
01/09/2018,CO,0.615
01/10/2018,CO,0.632
01/11/2018,CO,0.636
01/12/2018,CO,0.626
01/01/2019,CO,0.636
01/02/2019,CO,0.588
01/03/2019,CO,0.669
01/04/2019,CO,0.644
01/05/2019,CO,0.627
01/06/2019,CO,0.585
01/07/2019,CO,0.629
01/08/2019,CO,0.708
01/09/2019,CO,0.888
01/10/2019,CO,0.629
01/11/2019,CO,0.633
01/12/2019,CO,0.565
01/01/2020,CO,0.553
01/02/2020,CO,0.544
01/03/2020,CO,0.542
01/04/2020,CO,0.473
01/05/2020,CO,0.496
01/06/2020,CO,0.529
01/07/2020,CO,0.545
01/08/2020,CO,0.585
01/09/2020,CO,0.555
01/10/2020,CO,0.548
01/11/2020,CO,0.549
01/12/2020,CO,0.62
01/01/2021,CO,0.549
01/02/2021,CO,0.533
01/03/2021,CO,0.538
01/04/2021,CO,0.563
01/05/2021,CO,0.526
01/06/2021,CO,0.488
01/07/2021,CO,0.518
01/08/2021,CO,0.494
01/09/2021,CO,0.531
01/10/2021,CO,0.564
01/11/2021,CO,0.539
01/12/2021,CO,0.562
01/01/2022,CO,0.572
01/02/2022,CO,0.515
01/03/2022,CO,0.535
01/04/2022,CO,0.575
01/05/2022,CO,0.537
01/06/2022,CO,0.513
01/07/2022,CO,0.534
01/08/2022,CO,0.508
01/09/2022,CO,0.523
01/10/2022,CO,0.501
01/11/2022,CO,0.515
01/12/2022,CO,0.503
01/01/2017,NO2,0.0076
01/02/2017,NO2,0.0071
01/03/2017,NO2,0.0082
01/04/2017,NO2,0.0087
01/09/2017,NO2,0.0076
01/10/2017,NO2,0.0082
01/11/2017,NO2,0.008
01/12/2017,NO2,0.0074
01/01/2018,NO2,0.0078
01/02/2018,NO2,0.0069
01/03/2018,NO2,0.0074
01/04/2018,NO2,0.0075
01/05/2018,NO2,0.0076
01/06/2018,NO2,0.0074
01/07/2018,NO2,0.0096
01/08/2018,NO2,0.0077
01/09/2018,NO2,0.0079
01/10/2018,NO2,0.0076
01/11/2018,NO2,0.0074
01/12/2018,NO2,0.007
01/01/2019,NO2,0.0066
01/02/2019,NO2,0.0063
