place,city,state,temperature,pressure,dew_point,humidity,wind_speed,year
Taman Eng Ann,Klang,Selangor,29.2,1014.05,24.6,76,0.6,2024
Petra Jaya,Kuching,Sarawak,26.7,1010.89,25.6,94,0.1,2024
Petaling,Shah Alam,Selangor,29.1,1012.7,25.3,80,0.1,2024
Tamparuli,Tuaran,Sabah,25.6,1007.315,24.3,92.1,0,2024
Kuantan,Kuantan,Pahang,27,1007.85,25,89,6,2024
Petaling,Shah Alam,Selangor,28,1007.77,25,84,0,2024
Pekan Sitiawan,Sitiawan,Perak,27,1010.04,24,84,0,2024
Kuala Nerus,Kuala Terengganu,Terengganu,27,1009.28,25,89,6,2024
Durian Tunggal,Alor Gajah,Melaka,27,1009.68,25,89,2,2024
Jalan Airport,Miri,Sarawak,25,1008.84,24,94,7,2024
Sepang,Sepang,Kuala Lumpur,28,1007.49,24,79,6,2024
Kemaman,Kemaman,Terengganu,25,1009.4,24,94,0,2024
Batu Maung,Bayan Lepas,Pulau Pinang,28,1010.64,23,74,4,2024
Sandakan,Sandakan,Sabah,27,1007.44,25,89,4,2024
Sibu Jaya,Sibu,Sarawak,25,1006.57,24,94,6,2024
Mersing,Mersing,Johor,23,1005.73,23,100,9,2024
Sabak,Kota Bharu,Kelantan,28,1010.4,26,89,0,2024
Sungai Puyu,Seberang Perai,Pulau Pinang,27,1010.64,25,89,6,2024
Bintulu,Bintulu,Sarawak,25,1008.24,24,94,4,2024
Kampung Paya Mempelam,Langkawi,Kedah,28,1010.04,25,84,6,2024
Sabu,Sri Aman,Sarawak,24,1010.68,23,94,0,2024
Tanjung Aru,Kota Kinabalu,Sabah,26,1009.16,23,83,4,2024
Bandar Putra Kulai,Kulai,Johor,25,1006.21,24,94,0,2024
Kudat,Kudat,Sabah,27,1008.64,23,79,17,2024
Bandar Victoria,Labuan,Labuan,25,1006.41,23,89,4,2024
Taman Raja Ekram,Ipoh,Perak,27,1006.33,25,89,0,2024
Taman Desa Mutiara,Kota Setar,Kedah,27,1010.4,25,89,2,2024
Tawau,Tawau,Sabah,26,1007.96,25,94,6,2024
Kota Sentosa,Kuching,Sarawak,25,1008.76,25,100,0,2024
Penang Road,George Town,Pulau Pinang,28.9,1010.5,26.1,84,8,2024
Tanjung Bungah,George Town,Pulau Pinang,28.4,1010.97,25,82,4.8,2024
Sungai Sapi,Beluran,Sabah,25.9,1017.61,25.6,97,4.8,2024
Lojing,Lojing,Pahang,23.7,1013.48,22.8,96,0,2024
Subis,Miri,Sarawak,25.2,1010.16,24.4,96,0,2024
Sime Darby Plantation Ladang Tangkak,Tangkak,Johor,24.2,1013.58,23.3,95,0,2024
Tangkak,Tangkak,Johor,24.2,1013.58,23.3,95,0,2024
Bukit Jalil,Kuala Lumpur,Kuala Lumpur,27.9,1010.245,24.5,82,1.7,2024
Muallim,Muallim,Perak,25.4,1014.55,25.2,99,0,2024
Kampung Tambulaung,Kota Belud,Sabah,24.5,1017.27,23.7,95.2,0.7,2024
Taman Tasik Semenyih,Kajang,Selangor,25.7,1013.55,25.2,97,0,2024
Bukit Bintang,Kuala Lumpur,Kuala Lumpur,28.1,1012.1,23.7,77,0,2024
Air Itam,Timur Laut,Pulau Pinang,26.2,1013.04,25.5,96,0,2024
Petra Jaya,Kuching,Sarawak,26.8,1010.94,25.7,94,0,2024
Damansara Jaya,Petaling Jaya,Selangor,23.2,1013.97,23,99,0,2024
Bandar Sri Permaisuri,Kuala Lumpur,Kuala Lumpur,26.5,1016.525,24.4,88.7,2.3,2024
Cheras,Kuala Lumpur,Kuala Lumpur,26.5,1016.525,24.4,88.7,2.3,2024
Kuala Perlis,Kuala Perlis,Perlis,28.6,1011.65,26.5,88.5,0.7,2024
Ayer Keroh,Ayer Keroh,Melaka,27.4,1010.84,26.3,94,0.3,2024
Ampang Jaya,Kuala Lumpur,Kuala Lumpur,25.5,1005.42,24.4,94,5.4,2024
Gita Bayu,Balakong,Selangor,27,1014.058,24.1,84,0.9,2024
Bukit Tengah,Bukit Mertajam,Pulau Pinang,26.9,1012.075,25.6,92,0,2024
Sri Aman Heights,Selayang,Kuala Lumpur,25.5,1013.38,25.2,98,0,2024
Kampung Dato' Abu Bakar Baginda,Sepang,Kuala Lumpur,26.8,1015.24,24.4,86.6,1.3,2024
Jalan Ayer Hitam,Sepang,Kuala Lumpur,26.8,1015.24,24.4,86.6,1.3,2024
Tamparuli,Tuaran,Sabah,25.6,1007.52,24.3,92.2,0,2024
Taman Kulai Besar,Kulai,Johor,24.3,1009.415,23.2,94,0,2024
Bandar Puteri Jaya,Sungai Petani,Kedah,26.2,1015.92,25,93,0,2024
Saujana Villa,Kajang,Selangor,27.2,1016.93,25,88,0.5,2024
Kampung Tebing Tinggi,Temerloh,Pahang,24.7,1006.74,24.5,99,0.6,2024
Bandar Saujana Utama,Kuala Selangor,Selangor,27.3,1011.345,25.5,90,0,2024
Taman Eng Ann,Klang,Selangor,29.2,1013.885,24.6,76.2,0,2024
Petaling,Shah Alam,Selangor,29.2,1012.53,25.4,80,0.3,2024
Taman Seri Alam,Papar,Sabah,24.1,1017.71,23.8,98,0.6,2024
Sungai Buloh,Shah Alam,Selangor,27.6,1014.1,23.1,77,0,2024
Tanjung Bungah,George Town,Pulau Pinang,28.4,1010.97,25,82,0,2024
Muallim,Muallim,Perak,25.4,1011.15,25.2,99,0,2024
Bukit Jalil,Kuala Lumpur,Kuala Lumpur,27.9,1010.195,24.5,82,1.1,2024
Kampung Tambulaung,Kota Belud,Sabah,24.7,1017.27,23.8,95,0.4,2024
Taman Tasik Semenyih,Kajang,Selangor,25.7,1013.55,25.2,97,0,2024
Bukit Bintang,Kuala Lumpur,Kuala Lumpur,28.1,1010.65,23.7,77,0,2024
Bandar Saujana Utama,Kuala Selangor,Selangor,27.2,1011.345,25.4,90,0,2024
Air Itam,Timur Laut,Pulau Pinang,26.1,1013.04,25.4,96,0,2024
Pekan,Pekan,Pahang,25.2,1012.53,24.9,98,0,2024
Taman Eng Ann,Klang,Selangor,29.2,1013.715,24.8,77,0,2024
Taman Seri Alam,Papar,Sabah,24.1,1017.81,23.8,98,0.3,2024
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
